Archivo,Tag,Latitud,Longitud,Fecha
6D4ECE0C-BC49-44A5-898E-CD30497BE17E_1_105_c.jpeg,GPS Coordinates,43.25718333333333,-4.8323527777777775,2021:06:26 15:54:17
19E41E13-0732-4C6A-8D23-B5A9E1D2B1BA_1_105_c.jpeg,GPS Coordinates,42.77765,0.194575,2020:08:16 16:38:22
7BEFE029-DFC5-40DD-A431-4A44306FBE21.heic,GPS Coordinates,44.423230555555556,3.2104055555555555,2022:04:15 11:19:39+02:00
9ABDD76B-8A73-431F-AAB9-3E4D87B447CE_1_105_c.jpeg,GPS Coordinates,43.25503055555556,-4.836369444444444,2021:06:26 16:02:55
9BDC6907-B11D-4D2B-82DE-179CBA798259_1_105_c.jpeg,GPS Coordinates,41.733136111111115,2.9509722222222226,2023:07:23 19:02:13
29D0D1A8-95F5-4D15-ABF9-6DEA392D2476_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
13B6E2D8-08D6-43BC-851A-37FCAFD3DF85_1_105_c.jpeg,GPS Coordinates,42.18894444444444,1.3362583333333333,2020:10:24 13:37:36
5E493CD0-A5A0-46A9-9750-0BC121E468F7_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
4ADA08EC-52F1-4A9E-9BF6-FD0D3A7D6682_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
05C16ED6-0CF3-4686-90AD-5BAFFAC04E18_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
3CAEAC54-6082-42A4-BC5A-D0D85D9F269A_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
3EE849B0-2088-4410-BB27-127B75EAA783_1_105_c.jpeg,GPS Coordinates,42.57443333333334,-8.877319444444446,2021:06:23 17:57:27
6F8E9D17-DA6E-426B-A4AD-AACB2169DAAE_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
2B3DB5A9-4B1C-4BAF-8447-E29E6015F8E6_1_105_c.jpeg,GPS Coordinates,41.357616666666665,2.1009333333333333,2022:07:17 12:37:22
5E742EAD-2419-41BB-ADB9-94E27FF95E62_1_105_c.jpeg,GPS Coordinates,41.55361944444444,2.436936111111111,2023:07:16 21:57:12
0C6FA4AC-F859-4B2C-A80D-6011076DF8BF_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
0BF47C13-AE19-4707-AFCC-568BF84FBBAB_1_105_c.jpeg,GPS Coordinates,40.94939722222222,-4.117005555555555,2021:06:19 22:28:06
1D3DF216-1EF4-4B05-AD8C-E610C1D2D834_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
22F95CAF-4411-4287-B900-E3F7CD97479B.heic,GPS Coordinates,42.76450277777778,7.277497222222222,2021:08:25 08:35:02+02:00
7D500326-0CEB-48FB-8887-F6EECC9F7CED.heic,GPS Coordinates,42.708058333333334,7.043005555555555,2021:08:23 11:06:02+02:00
1C1FCAF0-862B-451B-B704-B7470B21259C_1_105_c.jpeg,GPS Coordinates,41.74979444444445,2.2297527777777777,2020:08:30 14:28:57
9AD3B4C6-7D42-4EFE-AA31-34A75B6C569F.heic,GPS Coordinates,41.801874999999995,2.2029083333333337,2020:06:20 12:56:40+02:00
6B27CBD4-4092-4F70-A75B-16715C310030_1_105_c.jpeg,GPS Coordinates,41.38456388888889,2.154575,2023:08:19 03:55:49
3FA6DDA5-D9DC-4FDD-A38B-95D6C5356EE5_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
6A3FA000-73C9-4F21-ABED-510F663C832E_1_102_o.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
2A14090A-04B8-4FF4-AD4E-D64CD6776AD5.heic,GPS Coordinates,41.00758611111111,0.9207055555555556,2020:10:10 17:05:21+02:00
1C52C3E7-6987-447C-BA37-EAC20EBFFE3C_1_105_c.jpeg,GPS Coordinates,40.94815,-4.123463888888889,2021:06:20 10:04:53
7D344D3B-01F0-4CFA-8A4E-56A5898A50C2.heic,GPS Coordinates,42.70590555555556,7.031411111111111,2021:08:23 10:44:59+02:00
8A41B426-C683-4FBF-9DDB-68826A4A6E0D_1_105_c.jpeg,GPS Coordinates,42.13075555555556,3.118227777777778,2021:04:04 16:42:38
7E5C82D8-32DC-44CD-8748-4D401BDF1F5D_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
6E858402-35CB-4BAE-A2D7-048252321809_1_105_c.jpeg,GPS Coordinates,40.95290277777778,-4.132813888888888,2021:06:20 11:38:06
3AE4C2F3-7518-4BB6-A0C8-1B51931951C7_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
0BA9D9EB-493E-459F-B1FE-F12A539DD823_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
6A28BEFD-B7E3-4B84-A7C7-F8AA774E5A7A_1_102_o.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
0E08F58A-3339-4A45-BDFE-ECFDD64BEA15_1_105_c.jpeg,GPS Coordinates,51.20036666666667,3.2235333333333336,2023:08:07 18:48:15
1F2ED6A0-A99A-4C7F-8550-A69E7F201AC8_1_105_c.jpeg,GPS Coordinates,49.64326111111111,3.2601722222222222,2023:08:06 17:58:11
4E3745E6-C0E2-4356-BE80-2311B033640F_1_105_c.jpeg,GPS Coordinates,40.947227777777776,-4.117213888888888,2021:06:19 21:45:29
8F2C85CC-C1BC-4251-A1DA-D5D3F9A408ED_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
0A45696B-37C6-41C6-902C-A00B64A62873_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
1B7E4092-2FD3-433D-9230-DBE8FF941E6E_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
19DC7364-1110-4E51-BEBF-D36EF717E698_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
9C6D2393-BA0A-456C-AE9F-265F9BE6CD83_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
27F01311-D048-4DE2-BC11-2A39931D9BD5_1_105_c.jpeg,GPS Coordinates,41.360108333333336,2.1027333333333336,2023:08:03 13:41:20
0C6390B8-D169-486E-B9B5-28EC8F558AAE_1_105_c.jpeg,GPS Coordinates,52.23877777777778,21.017419444444442,2022:12:26 23:20:34
8D2A332F-84F4-4E3C-AE4C-9D6E9456EC7F_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
19B2269F-8198-4F52-90BD-199AC5828696.heic,GPS Coordinates,42.091483333333336,1.3103861111111113,2020:06:27 16:59:52+02:00
7E1C351F-B0A2-4CA8-ACE1-7FF69E9EAF2D_1_105_c.jpeg,GPS Coordinates,41.58464722222222,1.8180722222222223,2021:12:18 12:23:01
22D3138D-C392-4EF0-87AF-F07233E338D0_1_105_c.jpeg,GPS Coordinates,42.77907222222222,-7.413319444444445,2021:08:25 16:53:13
5EF7C96A-16B7-45EF-87BC-86ECD6AD9C9B_1_105_c.jpeg,GPS Coordinates,43.32325,-4.583888888888889,2021:06:26 11:35:39
7EF83CB0-8283-4C69-A2A0-908C699E4A0E_1_105_c.jpeg,GPS Coordinates,52.38630555555555,5.011583333333333,2023:08:11 01:50:12
4E61A353-09A3-4D97-8D9B-1CE657ED8CB7_1_105_c.jpeg,GPS Coordinates,42.45494722222222,-8.92335,2021:06:24 14:05:31
7B221064-FCE1-42BA-BE5C-140898791435.heic,GPS Coordinates,48.85728888888889,2.2956944444444445,2023:08:04 22:04:59+02:00
1BCA909B-6791-4E96-9483-93613D62632F.heic,GPS Coordinates,42.09128055555556,1.3094833333333333,2020:10:24 18:02:38+02:00
2DB7CC91-132A-40C9-B2D1-7CD20F0A5652.heic,GPS Coordinates,42.189769444444444,1.333986111111111,2020:06:27 12:02:25+02:00
6C39E5CC-8D94-4804-81B0-B1AAFEDB348B.heic,GPS Coordinates,41.007552777777775,0.920611111111111,2020:10:10 17:04:26+02:00
28E15C1B-90DD-449B-8F03-F91FCEAEE255_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
8E80C4B1-27EB-4E4C-A5B1-3232DCB2C892_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
12F78034-207A-470E-8869-0F0491D7FE78_1_105_c.jpeg,GPS Coordinates,42.899769444444445,-8.446608333333334,2021:08:31 11:16:15
5AD0DF12-3A68-4F30-BE4B-721E64CE0E2E_1_105_c.jpeg,GPS Coordinates,41.11761388888889,1.2542277777777777,2023:01:14 12:26:13
4B06CE30-1B47-4B7F-9B43-06D751AF9C63.heic,GPS Coordinates,52.189030555555554,21.05301388888889,2022:12:24 15:08:45+01:00
7B6F6DA3-F616-48CC-83C1-D14B93502EB4_1_105_c.jpeg,GPS Coordinates,40.95024444444445,-4.126799999999999,2021:06:20 12:32:28
3BEC20A9-349C-4908-AFA8-ED6886DBC2BF_1_105_c.jpeg,GPS Coordinates,42.52316944444444,-8.73921111111111,2021:06:24 20:05:36
28EC5299-DC9C-4626-9D46-F6FC2CCBC690.heic,GPS Coordinates,42.90385833333333,8.377213888888889,2021:08:31 08:58:01+02:00
7D25F228-69DB-4F3F-B899-BD558B4E7B32.heic,GPS Coordinates,41.39333055555556,2.096025,2021:03:20 13:14:21+01:00
30A06778-BB10-4C82-A1A8-F915C286D01D_1_105_c.jpeg,GPS Coordinates,43.25533611111111,-4.836136111111111,2021:06:26 16:02:08
2AF45541-243F-4FD1-BF61-67710CBFF90D_1_105_c.jpeg,GPS Coordinates,42.92946944444444,-8.154491666666667,2021:08:29 15:22:59
5ED88B75-44C2-47AD-B5FE-05D302BEAC1D_1_105_c.jpeg,GPS Coordinates,52.238772222222224,21.017419444444442,2022:12:26 23:20:32
20D203DA-8ABF-4D5C-8806-A3409B0BD49C_1_105_c.jpeg,GPS Coordinates,41.36097222222222,2.1024694444444445,2023:06:26 20:56:37
1CF0A546-FF31-4E58-A460-971C8E2748EA_1_105_c.jpeg,GPS Coordinates,43.256,-4.835036111111111,2021:06:26 18:04:50
4F737CD3-E175-4992-ACF1-0C43922389A2_1_105_c.jpeg,GPS Coordinates,41.390175,2.1726416666666664,2023:06:17 11:47:59
27D6C894-0F46-4D5D-B1F2-398E563A60AD_1_105_c.jpeg,GPS Coordinates,52.210727777777784,20.954594444444442,2022:12:24 18:21:52
6EBCCBB5-FA39-408C-A0E6-5CAF431B24CD_1_105_c.jpeg,GPS Coordinates,53.399588888888886,6.451505555555555,2023:08:10 16:11:40
4BB1ED7F-21EB-494A-82DD-06EFA8792C9D_1_105_c.jpeg,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
.DS_Store,GPS Coordinates,No hay parametros en el archivo para latitud,No hay parametros en el archivo para longitud,No hay parametros en el archivo para fecha
